id,name,shortdesc,longdesc,price,image
1,Sunflower Keychain,"Soft cotton runner with subtle earthy tones for everyday elegance.","Add a touch of sunshine to your everyday essentials with this beautifully handmade sunflower keychain. Carefully crafted with attention to detail, this vibrant piece symbolizes happiness, positivity, and warmth. Lightweight and durable, it is perfect for decorating your keys, handbags, backpacks, or car mirrors. It also makes a thoughtful handmade gift for friends, family, or sunflower lovers.","₹399",https://cdn.designfast.io/image/2026-02-03/0d973f95-808d-4e5c-a125-0e9bc971ca76.webp
2,Flower Bouquet Keychain,"Mini handmade flower bouquet keychain – a cute floral accessory perfect for keys, bags, or gifting.","This adorable handmade flower bouquet keychain captures the charm of a tiny floral bouquet in a compact and stylish design. Each flower is carefully crafted to create a delicate and elegant accessory. Perfect for adding a soft, aesthetic touch to your bags, keys, or purses. A lovely gift option for birthdays, special occasions, or anyone who loves floral handmade art.","₹249",https://cdn.designfast.io/image/2026-03-14/d95b01c9-1814-4da3-9f19-c2b16eb72e60.webp
3,Cute Bow Keychain,"A charming handmade bow keychain that adds a cute and stylish touch to your everyday accessories.","Add a little cuteness to your daily essentials with this handmade bow keychain. Designed with a soft and elegant bow style, this accessory is perfect for decorating keys, backpacks, handbags, or pouches. Lightweight and eye-catching, it brings a playful and stylish vibe wherever you carry it. A perfect small gift for friends, kids, or anyone who loves cute accessories.","₹149",https://cdn.designfast.io/image/2026-03-14/8c7e25bf-e0f0-4e2f-85b2-89d24bfb10ae.webp
4,Daisy Flower Keychain,"Handmade daisy flower keychain inspired by nature’s simple beauty.","Inspired by the freshness and simplicity of daisies, this handmade daisy flower keychain is a beautiful nature-inspired accessory. Its delicate floral design makes it a lovely addition to keys, bags, purses, or even car accessories. Carefully handmade with love, this piece brings a fresh and cheerful aesthetic to your everyday items.","₹129",https://cdn.designfast.io/image/2026-03-14/e54c009d-644c-4673-95ef-9c770a802e7e.webp
5,Lavender Flower Keychain,"Elegant handmade lavender flower keychain with a soft and aesthetic floral look.","This handmade lavender flower keychain brings the calming and elegant beauty of lavender into a charming accessory. Designed with delicate details and a soft floral style, it is perfect for decorating keys, handbags, backpacks, or gifting to someone special. Its aesthetic and minimal design makes it ideal for people who love soft floral accessories.","₹129",https://cdn.designfast.io/image/2026-03-14/0d9da736-4f74-4a82-a50a-df7407984a21.webp
6,Bookmarks (Set of 3),"A beautiful set of 3 handmade bookmarks designed to add charm to your reading experience.","This handmade bookmark set includes three uniquely designed bookmarks crafted with care and creativity. Perfect for book lovers, students, and journal enthusiasts, these bookmarks help keep your place while adding an artistic touch to your books. Lightweight, durable, and aesthetically pleasing, they also make a thoughtful gift for readers and stationery lovers.","₹399",https://cdn.designfast.io/image/2026-03-14/46120cec-023c-4957-9992-cde8d1e8cd33.jpeg
7,Flower with Leaf Bookmark,"A delicate handmade bookmark featuring a flower and leaf design inspired by nature.","Bring a touch of nature to your reading with this elegant flower with leaf bookmark. Carefully handcrafted with a beautiful floral design, it adds a soft and refreshing aesthetic to your books. Perfect for novels, planners, journals, or notebooks, this bookmark is both functional and decorative, making it a lovely gift for anyone who enjoys reading.","₹129",https://cdn.designfast.io/image/2026-03-14/d082730e-55c6-4113-a38c-bad3dcf156dc.jpeg
8,Fine Designed Bookmark,"A stylish handmade bookmark with intricate design details for a classy reading accessory.","This finely designed handmade bookmark features elegant patterns and detailed craftsmanship that make it stand out. Perfect for readers who appreciate artistic stationery, this bookmark keeps your page marked while adding sophistication to your reading routine. Ideal for books, journals, planners, and gifting to book lovers.","₹199",https://cdn.designfast.io/image/2026-03-14/fc473ba8-d5a1-431d-948d-12bc92278272.jpeg
9,Heart Bookmark,"A cute handmade heart bookmark that adds love and charm to your reading moments.","This handmade heart bookmark is designed with a charming heart motif that symbolizes love for reading. Its cute and elegant design makes it a perfect accessory for books, journals, or planners. Lightweight and easy to use, it is a wonderful gift for readers, students, and anyone who enjoys heartfelt handmade creations.","₹99",https://cdn.designfast.io/image/2026-03-14/20269beb-af3c-4a15-a80c-4f45f7d10361.jpeg
10,Sunflower Bag Charm,"A cheerful handmade sunflower bag charm that adds a bright and stylish touch to your handbags, backpacks, or keys.","Add a little sunshine to your accessories with this beautifully handmade sunflower bag charm. Inspired by the vibrant beauty of sunflowers, this charm is carefully crafted to bring a cheerful and aesthetic look to your bags. Perfect for decorating handbags, backpacks, purses, or even car mirrors, it instantly enhances the style of your everyday accessories. Lightweight, durable, and uniquely handmade, it also makes a thoughtful gift for friends, family, or anyone who loves sunflower-inspired accessories.","₹249",https://cdn.designfast.io/image/2026-03-14/039a689c-45dd-4cbc-9c67-95b60bffbaf3.jpeg
11,Girl on Swing Embroidary Hoop,"A beautifully handcrafted embroidery hoop featuring a girl on a swing surrounded by delicate floral details.","This handmade embroidery hoop artwork captures a charming scene of a girl sitting on a swing, beautifully decorated with flowers and leaves. Carefully stitched with fine embroidery details, it brings a warm and artistic touch to any space. Perfect for decorating bedrooms, living rooms, or creative corners, this piece adds a soft handmade aesthetic to your home decor and also makes a thoughtful gift.","₹549",https://cdn.designfast.io/image/2026-03-14/14a443ac-7554-4f5a-8d6e-ad447a560e56.jpeg
